,title,url,price,image_url,description
10780,Horace Silver Quintet The Cape Verdean Blues LP sealed vinyl RE reissue,http://picclick.com/Horace-Silver-Quintet-The-Cape-Verdean-Blues-LP-153061006193.html,"{'amount': 22.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/153061006193_/Horace-Silver-Quintet-The-Cape-Verdean-Blues-LP.jpg,
10781,"Horace Silver Quintet, J.J. Johnson - The Cape Verdean Blues LP Mint- 913020Y",http://picclick.com/Horace-Silver-Quintet-JJ-Johnson-The-Cape-311899587564.html,"{'amount': 20.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/311899587564_/Horace-Silver-Quintet-JJ-Johnson-The-Cape.jpg,
10782,(LP) HORACE SILVER - The Cape Verdean Blues / 45 RPM / 2008 / MMBST-84220 / NEW,http://picclick.com/LP-HORACE-SILVER-The-Cape-Verdean-Blues-302670948361.html,"{'amount': 85.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/302670948361_/LP-HORACE-SILVER-The-Cape-Verdean-Blues.jpg,
10783,*The Cape Verdean Blues* The Horace Silver Quintet Music Matters LP Vinyl 33 RPM,http://picclick.com/The-Cape-Verdean-Blues-The-Horace-Silver-Quintet-222998984582.html,"{'amount': 69.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/222998984582_/The-Cape-Verdean-Blues-The-Horace-Silver-Quintet.jpg,
10784,Horace Silver Quintet The Cape Verdean Blues 2LP 180g 45rpm MUSIC MATTERS Sealed,http://picclick.com/Horace-Silver-Quintet-The-Cape-Verdean-Blues-2LP-182493131089.html,"{'amount': 99.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/182493131089_/Horace-Silver-Quintet-The-Cape-Verdean-Blues-2LP.jpg,
10785,Horace Silver Quintet JJ Johnson BLUE NOTE 4220 The Cape Verdean Blues VERY GOOD,http://picclick.com/Horace-Silver-Quintet-JJ-Johnson-BLUE-NOTE-4220-163106751553.html,"{'amount': 112.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/163106751553_/Horace-Silver-Quintet-JJ-Johnson-BLUE-NOTE-4220.jpg,
10786,THE HORACE SILVER QUINTET J.J. JOHNSON The Cape Verdean Blues LP Blue Note VG++,http://picclick.com/THE-HORACE-SILVER-QUINTET-JJ-JOHNSON-The-Cape-400715263870.html,"{'amount': 51.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/400715263870_/THE-HORACE-SILVER-QUINTET-JJ-JOHNSON-The-Cape.jpg,
10787,Horace Silver Quintet The Cape Verdean Blues 2008 180g 2 LP MUSIC MATTERS Sealed,http://picclick.com/Horace-Silver-Quintet-The-Cape-Verdean-Blues-2008-123068956723.html,"{'amount': 89.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/123068956723_/Horace-Silver-Quintet-The-Cape-Verdean-Blues-2008.jpg,
10788,"Horace Silver Quintet-The Cape Verdean Blues  Vinyl / 12"" Album NEW",http://picclick.com/Horace-Silver-Quintet-The-Cape-Verdean-Blues-Vinyl-292435429861.html,"{'amount': 21.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/292435429861_/Horace-Silver-Quintet-The-Cape-Verdean-Blues-Vinyl.jpg,
10789,HORACE SILVER The Cape Verdean Blues LP JAPAN TOSHIBA BLUE NOTE BN-4220 W/ OBI ^,http://picclick.com/HORACE-SILVER-The-Cape-Verdean-Blues-LP-JAPAN-252344393106.html,"{'amount': 26.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/252344393106_/HORACE-SILVER-The-Cape-Verdean-Blues-LP-JAPAN.jpg,
10790,Cape Verdean Driver Badge Sticker Decal Vinyl wakaba leaf soshinoya Verde CPV,http://picclick.com/Cape-Verdean-Driver-Badge-Sticker-Decal-Vinyl-wakaba-152988668093.html,"{'amount': 2.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/152988668093_/Cape-Verdean-Driver-Badge-Sticker-Decal-Vinyl-wakaba.jpg,
10791,"Horace Silver The Cape Verdean Blues 7"" Blue Note Shipping 4$ Jazz",http://picclick.com/Horace-Silver-The-Cape-Verdean-Blues-7-Blue-191880135932.html,"{'amount': 41.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/191880135932_/Horace-Silver-The-Cape-Verdean-Blues-7-Blue.jpg,
